support,itemsets
0.24426,"frozenset({'nota10_hash=High', 'total_resource_events=Low'})"
0.19254,"frozenset({'nota10_hash=Low', 'tipo_ingreso=NAP'})"
0.19756,"frozenset({'total_n_wifi_days=Low', 'nota10_hash=Low'})"
0.24622,"frozenset({'nota10_hash=Low', 'total_pft_assignment_submissions=Low'})"
0.24594,"frozenset({'total_pft_events=Low', 'nota10_hash=Low'})"
0.2461,"frozenset({'nota10_hash=Low', 'total_pft_visits=Low'})"
0.24564,"frozenset({'nota10_hash=Low', 'total_resource_events=Low'})"
0.2241,"frozenset({'nota10_hash=Medium', 'tipo_ingreso=NAP'})"
0.18138,"frozenset({'total_n_wifi_days=Low', 'nota10_hash=Medium'})"
0.06296,"frozenset({'nota10_hash=Medium', 'total_n_wifi_days=Medium'})"
0.2448,"frozenset({'nota10_hash=Medium', 'total_pft_assignment_submissions=Low'})"
0.24436,"frozenset({'total_pft_events=Low', 'nota10_hash=Medium'})"
0.24488,"frozenset({'total_pft_visits=Low', 'nota10_hash=Medium'})"
0.24452,"frozenset({'nota10_hash=Medium', 'total_resource_events=Low'})"
0.47572,"frozenset({'total_n_wifi_days=Low', 'tipo_ingreso=NAP'})"
0.186,"frozenset({'tipo_ingreso=NAP', 'total_n_wifi_days=Medium'})"
0.66274,"frozenset({'total_pft_assignment_submissions=Low', 'tipo_ingreso=NAP'})"
0.66166,"frozenset({'total_pft_events=Low', 'tipo_ingreso=NAP'})"
0.66274,"frozenset({'total_pft_visits=Low', 'tipo_ingreso=NAP'})"
0.66106,"frozenset({'tipo_ingreso=NAP', 'total_resource_events=Low'})"
0.76722,"frozenset({'total_n_wifi_days=Low', 'total_pft_assignment_submissions=Low'})"
0.76636,"frozenset({'total_pft_events=Low', 'total_n_wifi_days=Low'})"
0.76722,"frozenset({'total_n_wifi_days=Low', 'total_pft_visits=Low'})"
0.76594,"frozenset({'total_n_wifi_days=Low', 'total_resource_events=Low'})"
0.22978,"frozenset({'total_pft_assignment_submissions=Low', 'total_n_wifi_days=Medium'})"
0.22938,"frozenset({'total_pft_events=Low', 'total_n_wifi_days=Medium'})"
0.22982,"frozenset({'total_pft_visits=Low', 'total_n_wifi_days=Medium'})"
0.22918,"frozenset({'total_n_wifi_days=Medium', 'total_resource_events=Low'})"
0.99724,"frozenset({'total_pft_events=Low', 'total_pft_assignment_submissions=Low'})"
0.99844,"frozenset({'total_pft_visits=Low', 'total_pft_assignment_submissions=Low'})"
0.99652,"frozenset({'total_pft_assignment_submissions=Low', 'total_resource_events=Low'})"
0.99734,"frozenset({'total_pft_events=Low', 'total_pft_visits=Low'})"
0.9955,"frozenset({'total_pft_events=Low', 'total_resource_events=Low'})"
0.99666,"frozenset({'total_pft_visits=Low', 'total_resource_events=Low'})"
0.07852,"frozenset({'dedicacion=TC', 'campus_hash=1a9d786be0ff0bfe', 'Dropout=No'})"
0.05284,"frozenset({'campus_hash=1a9d786be0ff0bfe', 'desplazado_hash=A', 'Dropout=No'})"
0.0654,"frozenset({'campus_hash=1a9d786be0ff0bfe', 'tipo_ingreso=NAP', 'Dropout=No'})"
0.05658,"frozenset({'total_n_wifi_days=Low', 'campus_hash=1a9d786be0ff0bfe', 'Dropout=No'})"
0.07938,"frozenset({'campus_hash=1a9d786be0ff0bfe', 'total_pft_assignment_submissions=Low', 'Dropout=No'})"
0.07938,"frozenset({'total_pft_events=Low', 'campus_hash=1a9d786be0ff0bfe', 'Dropout=No'})"
0.07948,"frozenset({'total_pft_visits=Low', 'campus_hash=1a9d786be0ff0bfe', 'Dropout=No'})"
0.07926,"frozenset({'campus_hash=1a9d786be0ff0bfe', 'Dropout=No', 'total_resource_events=Low'})"
0.08762,"frozenset({'dedicacion=TC', 'campus_hash=6781b441c78d2643', 'Dropout=No'})"
0.0649,"frozenset({'campus_hash=6781b441c78d2643', 'desplazado_hash=A', 'Dropout=No'})"
0.0544,"frozenset({'estudios_m_hash=L', 'Dropout=No', 'campus_hash=6781b441c78d2643'})"
0.0513,"frozenset({'estudios_p_hash=L', 'Dropout=No', 'campus_hash=6781b441c78d2643'})"
0.0782,"frozenset({'tipo_ingreso=NAP', 'Dropout=No', 'campus_hash=6781b441c78d2643'})"
0.0638,"frozenset({'total_n_wifi_days=Low', 'campus_hash=6781b441c78d2643', 'Dropout=No'})"
0.08848,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'campus_hash=6781b441c78d2643'})"
0.08848,"frozenset({'total_pft_events=Low', 'campus_hash=6781b441c78d2643', 'Dropout=No'})"
0.08842,"frozenset({'total_pft_visits=Low', 'campus_hash=6781b441c78d2643', 'Dropout=No'})"
0.08828,"frozenset({'campus_hash=6781b441c78d2643', 'Dropout=No', 'total_resource_events=Low'})"
0.05142,"frozenset({'dedicacion=TC', 'campus_hash=8138689887e6817e', 'Dropout=No'})"
0.05194,"frozenset({'campus_hash=8138689887e6817e', 'total_pft_assignment_submissions=Low', 'Dropout=No'})"
0.05192,"frozenset({'total_pft_events=Low', 'campus_hash=8138689887e6817e', 'Dropout=No'})"
0.05192,"frozenset({'campus_hash=8138689887e6817e', 'total_pft_visits=Low', 'Dropout=No'})"
0.05182,"frozenset({'campus_hash=8138689887e6817e', 'Dropout=No', 'total_resource_events=Low'})"
0.05444,"frozenset({'dedicacion=TC', 'Dropout=No', 'campus_hash=86348ea0bf50ebf0'})"
0.05524,"frozenset({'total_pft_assignment_submissions=Low', 'Dropout=No', 'campus_hash=86348ea0bf50ebf0'})"
0.05512,"frozenset({'total_pft_events=Low', 'Dropout=No', 'campus_hash=86348ea0bf50ebf0'})"
0.05524,"frozenset({'total_pft_visits=Low', 'Dropout=No', 'campus_hash=86348ea0bf50ebf0'})"
0.05494,"frozenset({'campus_hash=86348ea0bf50ebf0', 'Dropout=No', 'total_resource_events=Low'})"
0.05974,"frozenset({'dedicacion=TC', 'Dropout=No', 'campus_hash=9103a6c82e355433'})"
0.05664,"frozenset({'campus_hash=9103a6c82e355433', 'total_n_wifi_days=Low', 'Dropout=No'})"
0.06162,"frozenset({'campus_hash=9103a6c82e355433', 'total_pft_assignment_submissions=Low', 'Dropout=No'})"
0.06156,"frozenset({'total_pft_events=Low', 'Dropout=No', 'campus_hash=9103a6c82e355433'})"
0.06162,"frozenset({'campus_hash=9103a6c82e355433', 'total_pft_visits=Low', 'Dropout=No'})"
0.06152,"frozenset({'campus_hash=9103a6c82e355433', 'Dropout=No', 'total_resource_events=Low'})"
0.08614,"frozenset({'dedicacion=TC', 'campus_hash=e4f95d56d90df35e', 'Dropout=No'})"
0.05658,"frozenset({'campus_hash=e4f95d56d90df35e', 'desplazado_hash=A', 'Dropout=No'})"
0.06434,"frozenset({'campus_hash=e4f95d56d90df35e', 'tipo_ingreso=NAP', 'Dropout=No'})"
0.0616,"frozenset({'total_n_wifi_days=Low', 'campus_hash=e4f95d56d90df35e', 'Dropout=No'})"
0.08816,"frozenset({'campus_hash=e4f95d56d90df35e', 'total_pft_assignment_submissions=Low', 'Dropout=No'})"
0.08808,"frozenset({'total_pft_events=Low', 'campus_hash=e4f95d56d90df35e', 'Dropout=No'})"
0.08812,"frozenset({'campus_hash=e4f95d56d90df35e', 'total_pft_visits=Low', 'Dropout=No'})"
0.08786,"frozenset({'campus_hash=e4f95d56d90df35e', 'Dropout=No', 'total_resource_events=Low'})"
0.56364,"frozenset({'dedicacion=TC', 'desplazado_hash=A', 'Dropout=No'})"
0.35404,"frozenset({'dedicacion=TC', 'desplazado_hash=B', 'Dropout=No'})"
0.30488,"frozenset({'estudios_m_hash=F', 'dedicacion=TC', 'Dropout=No'})"
0.41782,"frozenset({'dedicacion=TC', 'estudios_m_hash=L', 'Dropout=No'})"
0.17268,"frozenset({'dedicacion=TC', 'estudios_m_hash=T', 'Dropout=No'})"
0.30082,"frozenset({'dedicacion=TC', 'estudios_p_hash=F', 'Dropout=No'})"
0.37486,"frozenset({'dedicacion=TC', 'estudios_p_hash=L', 'Dropout=No'})"
0.20592,"frozenset({'dedicacion=TC', 'estudios_p_hash=T', 'Dropout=No'})"
0.23602,"frozenset({'dedicacion=TC', 'nota10_hash=High', 'Dropout=No'})"
0.21888,"frozenset({'dedicacion=TC', 'nota10_hash=Low', 'Dropout=No'})"
0.22816,"frozenset({'dedicacion=TC', 'nota10_hash=Medium', 'Dropout=No'})"
0.6198,"frozenset({'dedicacion=TC', 'tipo_ingreso=NAP', 'Dropout=No'})"
0.6931,"frozenset({'dedicacion=TC', 'total_n_wifi_days=Low', 'Dropout=No'})"
0.22256,"frozenset({'total_n_wifi_days=Medium', 'dedicacion=TC', 'Dropout=No'})"
0.9169,"frozenset({'dedicacion=TC', 'total_pft_assignment_submissions=Low', 'Dropout=No'})"
0.91572,"frozenset({'dedicacion=TC', 'total_pft_events=Low', 'Dropout=No'})"
0.91692,"frozenset({'dedicacion=TC', 'total_pft_visits=Low', 'Dropout=No'})"
0.915,"frozenset({'dedicacion=TC', 'Dropout=No', 'total_resource_events=Low'})"
0.19066,"frozenset({'estudios_m_hash=F', 'desplazado_hash=A', 'Dropout=No'})"
0.2689,"frozenset({'estudios_m_hash=L', 'desplazado_hash=A', 'Dropout=No'})"
0.10552,"frozenset({'estudios_m_hash=T', 'desplazado_hash=A', 'Dropout=No'})"
0.1895,"frozenset({'desplazado_hash=A', 'estudios_p_hash=F', 'Dropout=No'})"
0.24662,"frozenset({'estudios_p_hash=L', 'desplazado_hash=A', 'Dropout=No'})"
0.12104,"frozenset({'estudios_p_hash=T', 'desplazado_hash=A', 'Dropout=No'})"
0.13498,"frozenset({'nota10_hash=High', 'desplazado_hash=A', 'Dropout=No'})"
0.15982,"frozenset({'nota10_hash=Low', 'desplazado_hash=A', 'Dropout=No'})"
